method,method_label,condition,condition_label,scenario_scale,seeds,seed_count,rollout_count,sample_count,violation_count,violation_rate,descriptive_wilson_95_upper,maximum_seed_violation_rate,qp_attempt_count,qp_rejected_count,qp_rejection_rate,qp_fallback_count,qp_fallback_rate,qp_intervention_rate,online_time_mean_ms,online_time_sd_ms,maximum_normalized_qp_residual,minimum_unrounded_barrier,relative_degrees,initial_state_set
nmpc,NMPC reference,s1_heat,S1:Heat,0.3,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,16.120182234458625,1.881310235092306,0.0,0.3228675045730611,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
nmpc,NMPC reference,s2_pressure,S2:Pressure,0.24,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,15.901440015789122,1.7398914802840706,0.0,0.479917229000303,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
nmpc,NMPC reference,s3_coupled,S3:Coupled,0.35,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,16.049927312657235,1.8330390516819475,0.0,0.6445301790709557,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
nmpc,NMPC reference,s4_nonlinear,S4:Nonlinear,0.4,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,16.18120664026588,2.0869190677405176,0.0,0.5735647704340918,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
nmpc,NMPC reference,s5_valve,S5:Valve,0.35,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,20.820159130562097,5.468896102578302,0.0,0.5979577236098554,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
nmpc,NMPC reference,s6_fuel,S6:Fuel,0.5,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,20.650340142287313,5.391349317403184,0.0,0.3371485810581595,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_full,RoCBF-SF full margin,nominal,Nominal,0.0,"0,1,2,3,4",5,50,25000,0,0.0,0.00015363474556582426,0.0,25000,0,0.0,0,0.0,0.0,5.808972001709044,1.1125860580306217,0.0,3.442323625334346,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_full,RoCBF-SF full margin,s1_heat,S1:Heat,0.3,"0,1,2,3,4",5,50,25000,16002,0.64008,0.6460078036919916,0.6552,25000,24950,0.998,24950,0.998,0.0,21.47089251117781,4.059776827144728,227.60078022186997,-0.45869883976811127,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_full,RoCBF-SF full margin,s2_pressure,S2:Pressure,0.24,"0,1,2,3,4",5,50,25000,6438,0.25752,0.26297729773880146,0.3102,25000,24950,0.998,24950,0.998,0.0,13.229690576884895,6.9279582166750435,185.9517793865371,-0.30182511763440034,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
rocbf_full,RoCBF-SF full margin,s3_coupled,S3:Coupled,0.35,"0,1,2,3,4",5,50,25000,9798,0.39192,0.3979875808512132,0.4318,25000,25000,1.0,25000,1.0,0.0,10.061564776450396,0.3235195779018687,421.915969866978,-0.4525302143294054,"[2, 2, 2, 2, 2, 2]",intersection_of_h_ge_1_and_true_drift_psi1_ge_0
